actif,statut,exchanges,prix_moyen
AKE,A SURVEILLER,Gate.io,0.0150939
AMDB,A SURVEILLER,LBank,501.11
AVAAI,A SURVEILLER,LBank,0.009027
BLEND,A SURVEILLER,LBank,0.06443
BLUE,A SURVEILLER,LBank,0.009794
BNB,A SURVEILLER,OKX,716.4
CRO,A SURVEILLER,OKX,0.05717
CRWVON,A SURVEILLER,LBank,88.68
CZ,A SURVEILLER,LBank,0.002759
DOOD,A SURVEILLER,LBank,0.001639
DOT,A SURVEILLER,OKX,0.9993
FET,A SURVEILLER,OKX,0.1661
FRONG,A SURVEILLER,LBank,0.00688
GRIFFAIN,A SURVEILLER,LBank,0.012991
H,A SURVEILLER,Gate.io,0.08475
IOST,A SURVEILLER,OKX,0.0007687
JAILSTOOL,A SURVEILLER,LBank,0.0012458
JUGGERNAUT,A SURVEILLER,LBank,0.007758
JUP,A SURVEILLER,OKX,0.2306
KERNEL,A SURVEILLER,LBank,0.04041
LIT,A SURVEILLER,LBank,4.093
LITEG,A SURVEILLER,Gate.io,889.91
MEMES,A SURVEILLER,LBank,0.000625
MET,A SURVEILLER,OKX,0.2198
METAG,A SURVEILLER,Gate.io,640.42
NBISON,A SURVEILLER,LBank,222.53
OPG,A SURVEILLER,LBank,0.1032
PHA,A SURVEILLER,LBank,0.02738
SAHARA,A SURVEILLER,LBank,0.00897
SOPH,A SURVEILLER,"Gate.io, OKX",0.0042710000000000005
STORJ,A SURVEILLER,OKX,0.03587
SURPLUS,A SURVEILLER,LBank,4.505e-05
TRX,A SURVEILLER,OKX,0.3383
U,A SURVEILLER,LBank,0.9996
UAI,A SURVEILLER,Gate.io,0.50463
USDG,A SURVEILLER,OKX,1.0003
ZORA,A SURVEILLER,LBank,0.008122
ALGO,A ACHETER,OKX,0.0946
APEPE,A ACHETER,LBank,1.28064e-06
ATOM,A ACHETER,OKX,1.581
BARKINGPUPPY,A ACHETER,LBank,0.002267
BREV,A ACHETER,LBank,0.0786
EDGE,A ACHETER,LBank,0.06899
EIGEN,A ACHETER,"LBank, OKX",0.2036
ICP,A ACHETER,OKX,2.766
INTCB,A ACHETER,LBank,99.04
INTCG,A ACHETER,Gate.io,98.08
INTCON,A ACHETER,LBank,99.64
KAT,A ACHETER,LBank,0.00457
KOMA,A ACHETER,LBank,0.016459
OL,A ACHETER,OKX,0.005422
ORCA,A ACHETER,LBank,1.3511
PROVE,A ACHETER,LBank,0.1829
SENT,A ACHETER,"LBank, OKX",0.014190000000000001
USDUC,A ACHETER,LBank,0.003989
